Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38999,NA,NA,5.33143,6.13889,NA,9.10646,12.93839,7.88941,NA,10.95971,11.14184,NA,NA,NA,NA,NA,NA,NA,14.55795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.20852,NA,NA,28.43797,30.90604,NA,42.65143,51.41904,18.37937,NA,24.81409,26.15053,NA,NA,NA,NA,NA,NA,NA,42.09753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.60984,NA,NA,17.18067,18.84355,NA,26.34265,32.73786,13.29607,NA,18.12719,18.92117,NA,NA,NA,NA,NA,NA,NA,28.77245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,2.22,NA,NA,1.12,NA,NA,0.37,NA,NA,NA,1.06,NA,NA,NA
Albania,ALB,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.6947,NA,NA,NA,95.0385437,96.56851196,NA,95.36921692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.45469,NA,NA,NA,93.84957886,96.01664734,NA,98.08023071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.57201,NA,NA,NA,94.42868042,96.28534698,NA,96.74739838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,DZA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,DZA,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.04615,31.38105,33.03675,38.75983,44.4199,47.64456,50.06952,50.74806,51.69716,54.23297,57.79116,60.04364,63.16606,73.78757,62.09218,64.99001,66.41309,69.4256,68.82434,69.35311,71.7718,71.09023,70.35482,72.13674,75.77257,77.82541,NA,78.23217773,76.97570801,83.25943756,85.6787262,87.61576843,90.54679108,92.25351715,82.19220734,94.0856781,NA,89.95033264,92.51422882,95.26551056,100,105.3513336,NA,NA
